latitude,longitude,elevation
-1.467084427,32.74337827,1134
-1.467084427,32.75236143,1134
-1.467084427,32.76134458,1134
-1.467084427,32.77032773,1134
-1.467084427,32.77931088,1134
-1.467084427,32.78829404,1134
-1.467084427,32.79727719,1134
-1.467084427,32.80626034,1134
-1.467084427,32.8152435,1134
-1.467084427,32.82422665,1134
-1.467084427,32.8332098,1134
-1.467084427,32.84219295,1134
-1.467084427,32.85117611,1134
-1.467084427,32.86015926,1134
-1.467084427,32.86914241,1134
-1.467084427,32.87812557,1134
-1.467084427,32.88710872,1134
-1.467084427,32.89609187,1134
-1.467084427,32.90507502,1134
-1.467084427,32.91405818,1134
-1.467084427,32.92304133,1134
-1.467084427,32.93202448,1134
-1.467084427,32.94100764,1134
-1.467084427,32.94999079,1134
-1.467084427,32.95897394,1134
-1.467084427,32.96795709,1134
-1.467084427,32.97694025,1134
-1.467084427,32.9859234,1134
-1.467084427,32.99490655,1134
-1.467084427,33.00388971,1134
-1.467084427,33.01287286,1134
-1.467084427,33.02185601,1134
-1.467084427,33.03083916,1134
-1.467084427,33.03982232,1134
-1.467084427,33.04880547,1134
-1.467084427,33.05778862,1134
-1.467084427,33.06677177,1134
-1.467084427,33.07575493,1134
-1.467084427,33.08473808,1134
-1.467084427,33.09372123,1134
-1.467084427,33.10270439,1134
-1.467084427,33.11168754,1134
-1.467084427,33.12067069,1134
-1.467084427,33.12965384,1134
-1.467084427,33.138637,1134
-1.467084427,33.14762015,1134
-1.467084427,33.1566033,1134
-1.467084427,33.16558646,1134
-1.467084427,33.17456961,1134
-1.467084427,33.18355276,1134
-1.467084427,33.19253591,1134
-1.467084427,33.20151907,1134
-1.467084427,33.21050222,1134
-1.467084427,33.21948537,1134
-1.467084427,33.22846853,1134
-1.467084427,33.23745168,1134
-1.467084427,33.24643483,1134
-1.467084427,33.25541798,1134
-1.467084427,33.26440114,1134
-1.467084427,33.27338429,1134
-1.467084427,33.28236744,1134
-1.467084427,33.2913506,1134
-1.467084427,33.30033375,1134
-1.467084427,33.3093169,1134
